platform,komentar,timestamp,sentimen,komentar_clean,negasi,label
YouTube,Kontra naturalisasi itu paling baik.,6 bulan yang lalu,positif,kontra naturalisasi itu paling baik,1,0
YouTube,"Marselino eng byk egonya,Klau main bola,dia emg cari nama ?",7 bulan yang lalu,netral,marselino eng byk egonyaklau main boladia emg cari nama,1,1
YouTube,Kasih Towel main sndir,1 tahun yang lalu,netral,kasih towel main sndir,1,1
YouTube,Towell asal omong,1 tahun yang lalu,netral,towell asal omong,1,1
YouTube,Bang towel ini harus di cucu dulu otak  nya,1 tahun yang lalu,netral,bang towel ini harus cucu dulu otak nya,1,1
YouTube,"Bung Hamdam yg the best .......luas ,cerdad,modern pemikirannya",1 tahun yang lalu,positif,bung hamdam the best luas cerdadmodern pikir,1,0
YouTube,Towel itu prnh jd pemain bola kah...pemain amatir atau propesional... Klo eggk.. Psti dia eggk ngrti bola,1 tahun yang lalu,netral,towel itu prnh main bola kahpemain amatir atau propesional klo eggk psti dia eggk ngrti bola,1,1
YouTube,"Towel ini mafia bola. 
Pemecah belah bangsa. 
Dr stetmennya menghasut ke pengiringgan opini. 

Tdak taw main bola 
Tp
Bicaranya banyak😂😂😂😂 towel",1 tahun yang lalu,netral,towel ini mafia bola pecah belah bangsa stetmennya hasut pengiringgan opini tdak taw main bola bicara banyak towel,1,1
YouTube,"Si towel tuh dongo mana ngerti ,tau nya kritik yg ga mendasar ,emg mafia asli nya si towel ini",1 tahun yang lalu,netral,NEGASI towel tuh dongo mana ngerti tau nya kritik dasar emg mafia asli nya towel ini,-1,1
YouTube,Sy bertani culik toel bawa  pulau om aling kecil indonesia  toel pengamat bolak  foili anaknya aja toel toel mafi ad ya.bolah,1 tahun yang lalu,netral,tan culik toel bawa pulau aling kecil indonesia toel amat bolak foili anak aja toel toel mafi yabolah,1,1
YouTube,"Jelas ada aliran dana di belakang si towel
Dari politikus sama mafia bola",1 tahun yang lalu,netral,jelas ada alir dana belakang towel dari politikus sama mafia bola,1,1
YouTube,Tv masih ngundang ditowel bikin kacau,1 tahun yang lalu,netral,masih ngundang towel bikin kacau,1,1
YouTube,Towel siapa sh,1 tahun yang lalu,netral,towel siapa,1,1
YouTube,Di saat towel jdi angota pssi di saat ktua ya layala.tdak becus.kok sok hebat.coba jdi platih kyak apa shi hebat ya dia.,1 tahun yang lalu,positif,saat towel jdi angota pssi saat ktua layalatdak becuskok sok hebatcoba jdi platih kyak apa shi hebat dia,1,0
YouTube,Towel pemecah sepak bola,1 tahun yang lalu,netral,towel pecah sepak bola,1,1
YouTube,Cintix towel ini skt ht sm sty iri dia sdh dipercy pssi,1 tahun yang lalu,netral,cintix towel ini skt sty iri dia sdh dipercy pssi,1,1
YouTube,toweeeeeell - bawel,1 tahun yang lalu,netral,toweeeeeell bawel,1,1
