platform,komentar,timestamp,sentimen
YouTube,Kontra naturalisasi itu paling baik.,6 bulan yang lalu,
YouTube,"Marselino eng byk egonya,Klau main bola,dia emg cari nama ?",7 bulan yang lalu,
YouTube,Kasih Towel main sndir,1 tahun yang lalu,
YouTube,Towell asal omong,1 tahun yang lalu,
YouTube,Bang towel ini harus di cucu dulu otak  nya,1 tahun yang lalu,
YouTube,"Bung Hamdam yg the best .......luas ,cerdad,modern pemikirannya",1 tahun yang lalu,
YouTube,Towel itu prnh jd pemain bola kah...pemain amatir atau propesional... Klo eggk.. Psti dia eggk ngrti bola,1 tahun yang lalu,
YouTube,"Towel ini mafia bola. 
Pemecah belah bangsa. 
Dr stetmennya menghasut ke pengiringgan opini. 

Tdak taw main bola 
Tp
Bicaranya banyak😂😂😂😂 towel",1 tahun yang lalu,
YouTube,"Si towel tuh dongo mana ngerti ,tau nya kritik yg ga mendasar ,emg mafia asli nya si towel ini",1 tahun yang lalu,
YouTube,Sy bertani culik toel bawa  pulau om aling kecil indonesia  toel pengamat bolak  foili anaknya aja toel toel mafi ad ya.bolah,1 tahun yang lalu,
YouTube,"Jelas ada aliran dana di belakang si towel
Dari politikus sama mafia bola",1 tahun yang lalu,
YouTube,Tv masih ngundang ditowel bikin kacau,1 tahun yang lalu,
YouTube,Towel siapa sh,1 tahun yang lalu,
YouTube,Di saat towel jdi angota pssi di saat ktua ya layala.tdak becus.kok sok hebat.coba jdi platih kyak apa shi hebat ya dia.,1 tahun yang lalu,
YouTube,Towel pemecah sepak bola,1 tahun yang lalu,
YouTube,Cintix towel ini skt ht sm sty iri dia sdh dipercy pssi,1 tahun yang lalu,
YouTube,toweeeeeell - bawel,1 tahun yang lalu,
YouTube,Sy sangat setuju jalan pemikiran pak erik tohir dan sty memang harus lebih banyak pemain naturalisasi supaya generasi kedepannya bisa memainkan sepakbola modern gk ngandelin kecepatan pemain sayap dan striker tunggal aja sprti timnas yg dulu2.. supaya gaya mainnya berubah lebih lepas dan menghibur..,1 tahun yang lalu,
YouTube,"PSSI Mau naturalisasi, mau hilirisasi, mau reboisasi, mau erosi, mau trasi.... Gw tidak peduli!!! 
Sebagai fans timnas, GW cm pengen lihat negeri ini maju sepakbolanya!!
Lanjutkan pak erick Thohir, saya puas dgn kinerja anda!",1 tahun yang lalu,
YouTube,"Kalo mau Result Oriented tanpa ada pembatasan jelas, pakai saja Naturalisasi semua

Hanya jangan harap saja kita punya anak2 ber cita2 masuk timnas d masa depan😅",1 tahun yang lalu,
YouTube,Towel itu mavia bola.... Ya orang inilah bersama kelompoknya yg merusak sepak bola kita.... Towel ini berlagak sebagai pahlawan sepak bola... Pada hal dia ini hanya demi kelompoknya mendapatkan cuan.... Hati hati dgn orang ini,1 tahun yang lalu,
YouTube,"Towel tidak suka klw Indonesia ini maju sepak bolanya, klw bung towel  paling tau paling pintar coba buat team sendiri, kumpul pemain lokal pilihan anda buktikan klw memang anda bisa, jngn cuma koar² disosmed",1 tahun yang lalu (diedit),
YouTube,Ya luar biasa kita melihatnya...,1 tahun yang lalu,
YouTube,Toel kalah xebat,1 tahun yang lalu,
YouTube,Sekalian naturalisasi satu klub sekalian pelatihnya.,1 tahun yang lalu,
YouTube,"Positif thinking aja gaes, menurut saya naturalisasi itu bisa jd motivasi pemain lokal untuk berjuang LBH keras untuk bisa naik level, dr mulai segi fisik, skill & kedisiplinan, smga nt malem dpt 3 poin lawan bahrain, salam olah 
Kawan ⚽🏃 🇮🇩 💪💪💪",1 tahun yang lalu,
YouTube,"terlihat jelas orang2 terdahulu ratingnya sangat buruk dlam pengolahan sepakbola,apa iya termasuk orang2 ini begitu keberatan dalam naturalisasi",1 tahun yang lalu,
YouTube,"Maenset towel dan koloni nya trlalu sempit dan dangkal ..
  Gedek x lihat iniih Oranq, dan sekarang yg lbih bodoh nya sepakbola di campur"" dngn politik byak kluaran binatanq"" yg ga ngerti sepak bola pda kluar ngoceh"" brisik sprti anji*g kmpunq ..",1 tahun yang lalu,
YouTube,"STY n naturalisasi adalah proses instant utk upgrade level timnas, yg perlu diperhatikan adalah tindakan perbaikan pd liga ke arah standart yg lbh tinggi, jd perbaiki kualitas pelatih, lapangan, wasit n berantas mafia sepakbola, berantas jg KKN yg parah di era Rezim shg para pemain baik lokal n naturalisasi bisa hidup sejahtera dari Sepakbola💪🏽🇲🇨🏆",1 tahun yang lalu,
YouTube,"Bagiku mreka bukan pemain asing ataupun naturalisasi, mreka hanya pemain lokal yg di latih dan bermain di luar negeri, dan saat dewasa mreka membela timnas Indonesia",1 tahun yang lalu,
YouTube,"towel kita tdk melemahkn kualitas pemain lokal, mslahnya data analytic tentang kmampuan pemain lokal d lapangan sgt tdk memungkinkn utk bermain penuh di tingkat dunia skrg, tetap hrus ada booster yaitu naturalisasi.",1 tahun yang lalu,
YouTube,"Si towel pengen jadi pelatih timnas?? 
Memang manusia seperti itu harus dibuang ke Israel",1 tahun yang lalu,
YouTube,Aku masi towell kok mangkel....towell iki sebenere menungso opo ora kah ? Wong kok keminter...cocok di jejeli onde² towell iki,1 tahun yang lalu,
YouTube,"Ini org bisa nya komentar aja,bisa nya cuma comentar aje,,😂 bukan dukung timnas,bisa nya duduk komentar2 doang",1 tahun yang lalu,
YouTube,"Towel.. ini virus... suruh buat team buat lawan team STY... 
Towel ini butuh jabatan d PSSI.. dan towel ini prestasinya apa..? Apa towel cuma bisa kritik aja.. tp tidak tindakkan nyata buat teamnas...",1 tahun yang lalu,
YouTube,emang towel contoh .kalau lihat karet di gantung kasih air  terus di towel/di senggol pasti gerak kesana kemari gak jelas itulah towel ..,1 tahun yang lalu,
YouTube,"Towel ini sebenarnya.. Dulu sangat faham, siapa siapa orang mavia bola dan bagaimana cara mereka bergerak... Tp kenapa dulu kok towel... Diem saja....dulu lapangan bola kayak kandang sapi.. Towel ya duem saja... Tp kenapa sekarang kok nyocros terus... Klu ngikuti orang mavia macam towel... Maka seoak bola kita akan runyam terus",1 tahun yang lalu,
YouTube,"Aneh orang ini siapa? Masih ajh di kasih waktu cuap2 di Televisi..  prestasinya apa untuk Timnas,,? Klo STY sudh jelas Pelatih tingkat Dunia,,, aneh bung Towel ini gk bercermin siapa dirinya,,,",1 tahun yang lalu,
YouTube,Towel bisa nya urusan AFF saja,1 tahun yang lalu,
YouTube,"padahal pemain timnas belanda bnyk yg keturunan indonesia, ketika  mereka main di indo... knp jd masalah? LOL!",1 tahun yang lalu,
YouTube,"No Hate, No Politik, only Football, Towel 🤮🤮🤮🤮",1 tahun yang lalu (diedit),
YouTube,"Harusnya starting line up,50 lokal,50 naturalisasi,,, jadi 50:50",1 tahun yang lalu,
YouTube,"Itu tidak instan,,, tetapi itu kualitas dia,,,, contoh,,, klo pemain lokal seperti, sadil ramdani, main di Juventus,,, ya jls STY akan memanggil dia, tiwel engga faham tu😅",1 tahun yang lalu (diedit),
YouTube,Aku slalu berdo a agar towel segera d naturalisasi oleh cina amin.,1 tahun yang lalu,
YouTube,TIM sekelas Dunia padahal bnyk yg pemainya naturalisasi. Inggris dengan negara liga trbaik pemainya bintangnya juga naturalisasi. Wayne roonie. Jude bellingham. Hary kane,1 tahun yang lalu,
YouTube,Mending towel suruh debat sama gus samsudin itu malah lebih bagus.,1 tahun yang lalu,
YouTube,Towel pantek,1 tahun yang lalu,
YouTube,Intinya pssi sukses membawa sepakbola indonesia masuk ronde 3 klualifikasi piala dunia ini fakta dan nyata naturalisasi  program fifa untuk memajukan persepak bolaan dunia secara merata kalau sebuah negara yang industri olahraga persepak bolanya blm maju kalau tdk mau menaturalisasi pemain top dari negara industri teknolo dan teklogi sepak bola maju maka jangan berharap kemajuannya dlm waktu yang cepat  buktinya sekarang kita lihat kita maju rifal lain tetangga ketinggalan kereta baru mau kejar kita sdh sampai naturalisasi itu program fifa tdk ada larangan khususnya bagi semua negara terutama negara yang sepakbolanya belum maju untuk manfaatkan programnya    ini sprit dan merubah meningkatkan sistem kompetisi sepak bola di sebuah negara agar bisa mendatangkan pemain2 bintang berkwalitas untuk merangsang pemain lokal untuk bersaing berprestasi secara menyeluruh bagi talenta muda untuk bisa masuk timnas  bergabung bersaing pendahulunya di dlm tim kalau yang menolak naturalisasi itu adalah orang pola berpikirnya sempit dan bukan pemikiran global serti pemerenta dan pssi  jadi klu orang seperti towel itu pemerenta pssi maupun netizen pendukung timnas tdk perlu tanggapi anggap saja itu sampah maklumi saja karna pengetahuannya cuma sepakbola bukan pengetahuan global,1 tahun yang lalu,
YouTube,Saya tetap setuju dg bung towel,1 tahun yang lalu,
YouTube,Pret apapun alasanya naturalisasi yg besar besaran itu tetap gak baik  apalagi dg sty yg mau dijadikan pelatih seumur hidup,1 tahun yang lalu,
YouTube,Naturalisasi dan terus menerus itu adalah program instan yg tdk baik,1 tahun yang lalu,
YouTube,Orang macam towel napa masih dikasih panggung lihat sekarang Arab Saudi ditahan imbang berkat pemain naturalisasi,1 tahun yang lalu,
YouTube,Towel dancow' tolong jgn di kasih panggong agar tidak  bikin emosi orang banyak karena towel orang sudah sangat strees  towel bukan apa2 dan bukan siapa2 tapi towel itu hanya mau cari kesempatan  untuk bisa masuk di ke pengurusan PSSI tapi mulutnya sudah terlanjur busuk jadi tetap bau anyir sok tau sepak bola  padahal cuma sok2 an,1 tahun yang lalu,
YouTube,Towel knp kelen undang metrooooo,1 tahun yang lalu,
YouTube,8:10 moment terkocak,1 tahun yang lalu,
YouTube,"Ini orang2 yg mau buat timnas kita hancur...
Komentar nya menjatuhkan...
Bung towel jago ngomong Emang...
Bodohnya ketahuan...
Perlu di asingkan orang ini",1 tahun yang lalu,
YouTube,"Bodoh ni yg undang towel, dia benci sty",1 tahun yang lalu,
YouTube,"Klo cari salah ya ga ketemu benernya bung, biarkan rakyat punya harapan cm sepak bola yg bsa menyatukan…",1 tahun yang lalu,
YouTube,Saya rasa suporter Indonesia perlu menyiapkan lagu sindiran buat towel  ketika timnas kita berlaga agar nyanyian itu di nyanyikan keras di tribun,1 tahun yang lalu,
YouTube,"Dari Dulu Pemain Lokal jg udh memenuhi skuad kok, kalau ga diaspora mau sampai kapan kita hanya mampu bersaing di aff saja? mau stuck trs? twolol",1 tahun yang lalu (diedit),
YouTube,Lu liat TIMNAS Prancis pemain lokalnya cuman siRabiot doank,1 tahun yang lalu,
YouTube,Kelebihan sty adalah saat dia memilih pemain keturunan tdk semua pelatih bisa melakukan  melakukan itu semua,1 tahun yang lalu,
YouTube,hahahah mw brp tahun lagi liat klo cm talenta talenta lokal untuk ronde 3 akan ada pembantaian besar besaran,1 tahun yang lalu,
YouTube,masi tolot ni towel .lu mau cari duit di PSSI hancur nanti PSSI kamu ikut capur di PSSI tidak husah ikut campur . ini hurusan  Negara,1 tahun yang lalu,
YouTube,Adu main bola saja lah dilapangan jangan mbacot mulu lh,1 tahun yang lalu,
YouTube,Si Towel mau nya apa sih?,1 tahun yang lalu,
YouTube,Kalau kompetisi liga indonesia  sudah bisa bersaing di Afc boleh lah beragumen,1 tahun yang lalu,
YouTube,Si towel itu mafia bolla mkanya ngak suka spk bola maju,1 tahun yang lalu,
YouTube,itu yang gendut siapa,1 tahun yang lalu,
YouTube,Towel  hebat jd pelatih bs kh,1 tahun yang lalu,
YouTube,"Naturalisasi adalah program yang paling tepat untuk meningkatkan prestasi sepak bola Indonesia.
Kenapa dikatakan tepat, karena kondisi skill, fisik, mental pemain yang ada tidak memungkinkan berprestasi di Asia, apa lagi di dunia, untuk asean saja kesulitan.
Dengan program naturalisasi dapat memberi stimulasi kepada para pemain muda sehingaa dengan melihat para pemain timnas yang terdiri dari pemain diaspora dan lokal maka para pemain muda mempunyai target dalam pribadinya bahwa sepak bola itu ""dengan cara seperti itu, ala eropa...?""
Para pemain muda kita tutup rapat2 dari cara bermain era lama, mental dan daya juang zaman dulu sehingga para pemain muda melihat para pemain timnas bermain ala eropah, akan membuat dan membentuk ""doktrin"" dalam dirinya, gaya, mental, dedikasi para pemain diaspora dan akan membentuk pribadi dan gaya bermain pemain muda.",1 tahun yang lalu,
YouTube,Lalat akan selalu mencari kotoran meskipun di depan sudah di letakkan kue yang enak tapi ini bukan tentang lalat...,1 tahun yang lalu,
YouTube,Towel naik darah....apa yg bisa towel berikan untuk timnas....apa hannya kritikan aja 😅😅😅....,1 tahun yang lalu,
YouTube,Makelar belanda,1 tahun yang lalu,
YouTube,"menurut gw si towel bukan ga suka sama pelatih shin,tapi dia ga suka dgn pemimpin pssi yg sekarang pak erik tohir, dan dia ga berani jika terang terangan langsung menyerang atau mengkritik langsung pak erik krna tau laah kapasitas pak erik sprti apa,dan bakal ketahuan siapa asli nya sitowel ini berikut orang2 di di belakang ny,melainkan dia melayangkan serangan ke pelatih yg sekarang agar permainan indonesia menjadi jelek dan imbas nya para fans garuda mengira krna kepengurusan oleh ketua pssi tidak becus,,,dan langsung menuntut mundur pak erik,,dan menuntut untuk tidak memilih pak erik menjadi ketum pssi lagi,dstu lah tim nya si towel masuk buat mngganti ketum pssi yg baru,,nahh kalo suda mereka lagi yg pegang kendali pssi auto donk kantong mereka tebel lagi,,entah itu dr pengaturan skor entah itu dri suap menyuap wasit atau pemaain dsb, pokok nya yg menguntungkan komplotan si towel ini mafia2 bola keparat,..",1 tahun yang lalu,
YouTube,France.. isi.a 90% pemain naturalisasi semua😂,1 tahun yang lalu,
YouTube,"Sudah lah jgn permasalahkan naturalisasi.
Yg penting Indonesia juara",1 tahun yang lalu,
YouTube,dengarin towel...jgn cuman subjektif n pergame aja diliahat,1 tahun yang lalu,
YouTube,"Dengerin itu well,,, blokkk",1 tahun yang lalu,
YouTube,GUE juga tau kalau Bung Towel ini hanya kritik STY aja bukan sistem NATURILISASI,1 tahun yang lalu,
YouTube,"Kita misalkan, gak usahlah level negara, misalkan ortu kita salah satunya ada yg dari luar pulau jawa. Semisal medan,aceh,makasar,bali papua, dll, terus menikah di Jakarta..
Kalian pasti selalu membanggakan asal muasal nama daerah ortukan. Kira selalu tetap merasa jadi bagian dari daerah salah satu ortukan.

Nah itulah yg dirasakan naturalisasi.
Apa lagi karir pemain tertinggi ya emang kalau bisa menbela sbw negara. Beda bro..
Orang tidak akan lupa dari mana mereka berasal.",1 tahun yang lalu,
YouTube,Yang gendut fans AFF CUP 😂,1 tahun yang lalu,
YouTube,Towel dan para kolega kayak tau bola...perut aja pada buncit... ini sebetulnya orang2 yang m3mbuat indonesia ga mebanggakan...,1 tahun yang lalu,
YouTube,"Solusinya untuk menghilangkan Bacot bung towel dan kawan2X,,BLOKIIIRRRR SEMUA MEDIA YANG BERI DIA PANGGUNG",1 tahun yang lalu,
YouTube,di sini kita tau mana omongan orang pinter dan paham bola dan orang yang bodoh,1 tahun yang lalu,
YouTube,Pak hamdan sabar sekali keren pak sampeyan,1 tahun yang lalu,
YouTube,"Si towel otak nya nge-lag asli. Malah kalau menang karena STY kalo kalah karena marcelino 😂 sudah tau Tim, kalo bicara kesalahan ya wajar ada kesalahan saat main. Eajar kalau di kritik. kalau gak mau di kritik gak usah main pemain nya, emang kita mengakui Faktor kemajuan sepak bola timnas karena STY dan managemen nya. Dan karena faktor Erik tohir yang gak main² dengan target nya",1 tahun yang lalu,
YouTube,Tolong lah si towel jngn di kasi panggung lagi tolong !!! Perusak towel itu,1 tahun yang lalu,
YouTube,Koplo,1 tahun yang lalu,
YouTube,Towel...ngapain sih...,1 tahun yang lalu,
YouTube,Towel tu ko ngotot bngt..kl saya yg jd bung hamdan..udah t tonjok bung towel,1 tahun yang lalu,
YouTube,"keliatan muka"" yang pemikirannya maju",1 tahun yang lalu,
YouTube,Aneh metro tv ngundang pengamat politik bahas bola kaga nyambung,1 tahun yang lalu,
