platform,komentar,timestamp,sentimen,komentar_clean
YouTube,Kontra naturalisasi itu paling baik.,6 bulan yang lalu,,kontra naturalisasi
YouTube,"Marselino eng byk egonya,Klau main bola,dia emg cari nama ?",7 bulan yang lalu,,marselino eng byk egonyaklau main boladia emg cari nama
YouTube,Kasih Towel main sndir,1 tahun yang lalu,,kasih towel main sndir
YouTube,Towell asal omong,1 tahun yang lalu,,towell omong
YouTube,Bang towel ini harus di cucu dulu otak  nya,1 tahun yang lalu,,bang towel cucu otak nya
YouTube,"Bung Hamdam yg the best .......luas ,cerdad,modern pemikirannya",1 tahun yang lalu,,hamdam yg the best luas cerdadmodern pikir
YouTube,Towel itu prnh jd pemain bola kah...pemain amatir atau propesional... Klo eggk.. Psti dia eggk ngrti bola,1 tahun yang lalu,,towel prnh jd main bola kahpemain amatir propesional klo eggk psti eggk ngrti bola
YouTube,"Towel ini mafia bola. 
Pemecah belah bangsa. 
Dr stetmennya menghasut ke pengiringgan opini. 

Tdak taw main bola 
Tp
Bicaranya banyak😂😂😂😂 towel",1 tahun yang lalu,,towel mafia bola pecah belah bangsa dr stetmennya hasut pengiringgan opini tdak taw main bola tp bicara towel
YouTube,"Si towel tuh dongo mana ngerti ,tau nya kritik yg ga mendasar ,emg mafia asli nya si towel ini",1 tahun yang lalu,,si towel tuh dongo ngerti tau nya kritik yg ga dasar emg mafia asli nya si towel
YouTube,Sy bertani culik toel bawa  pulau om aling kecil indonesia  toel pengamat bolak  foili anaknya aja toel toel mafi ad ya.bolah,1 tahun yang lalu,,sy tan culik toel bawa pulau om aling indonesia toel amat bolak foili anak aja toel toel mafi ad yabolah
YouTube,"Jelas ada aliran dana di belakang si towel
Dari politikus sama mafia bola",1 tahun yang lalu,,alir dana si towel politikus mafia bola
YouTube,Tv masih ngundang ditowel bikin kacau,1 tahun yang lalu,,tv ngundang towel bikin kacau
YouTube,Towel siapa sh,1 tahun yang lalu,,towel sh
YouTube,Di saat towel jdi angota pssi di saat ktua ya layala.tdak becus.kok sok hebat.coba jdi platih kyak apa shi hebat ya dia.,1 tahun yang lalu,,towel jdi angota pssi ktua ya layalatdak becuskok sok hebatcoba jdi platih kyak shi hebat ya
YouTube,Towel pemecah sepak bola,1 tahun yang lalu,,towel pecah sepak bola
YouTube,Cintix towel ini skt ht sm sty iri dia sdh dipercy pssi,1 tahun yang lalu,,cintix towel skt ht sm sty iri sdh dipercy pssi
YouTube,toweeeeeell - bawel,1 tahun yang lalu,,toweeeeeell bawel
